"3d touch просто восхитительная вещь! заряд держит целый день. в розовом цвете смотрится очень необычно. touch id очень быстрый и удобный. всем советую этот телефон!",POS
"отключается при температуре близкой к нулю, непонятно ведет себя батарея",POS
"в apple окончательно решили не заморачиваться, делая незначительные изменения в телефоне, выдают эти изменения за инновации. на этот раз скопировали не только функционал, но и дизайн. цена и была неадекватно завышена, а после скачка курса так и говорить об этом не приходится. многие скажут, что и hd разрешения будет достаточно для такой диагонали, может так оно и есть, но аппарат позиционируется, как топовое решение, а в итоге получаем банальную экономию производителя, ведь что произойдёт с временем работы, если увеличить до fhd?! 1 гб оперативки тоже прошлый век! и не надо рассказывать сказки про великолепную оптимизацию ios, чудес на свете не бывает, этого мало. те кто скажет, что их не волнуют технические характеристики смартфона, главное чтоб он хорошо работал, телефон за 5000 будет так же хорошо работать, а отдавая (выбрасывая) 55000 нужно думать головой и понимать, что этих денег данный телефон просто непросто не может стоить! про удобство использования стоит отметить, что больший по размерам note 4 гораздо лучше лежит в руке и пользоваться им сподручнее.",NEG
"постарался наиболее ёмко и коротко описать все основные плюсы и минусы. большим мне аппарат не показался, размеры - что надо. внешний вид, как для меня, так 5-ка выглядит интереснее и солиднее.",POS
достойный телефон. пользоваться одно удовольствие.,POS
"мой первый айфон. скажу честно- эппл ранее никогда в руках не держала, хотелось попробовать что-то новое, андроид уж слишком приелся. первое, что порадовало- это дизайн и качество сборки. тут все на высоте. постоянно любуюсь телефоном, но он без чехла скользкий. дисплей шикарный. яркий, насыщенный, все летает. как будто попадаешь в другой мир. батарейка-не знаю почему все жалуются. за неё, кстати, переживала. ан нет, на день с головой хватает.  камера очень хорошая, очень четкая, яркая, быстрая. селфи камера тоже крутая, не шумит, хороший угол обзора. live photo - как по мне бред) 3d touch - пока непривычно, часто вместо нажатия сильнее просто зажимаю, но думаю что освою, правда потом будет наверно трудно андроид в руки взять (хотя может к тому моменту эта фишка и везде появится). ios - не знаю как там раньше, не могу сравнить, но пока мне нравится. все просто, ничего лишнего, никакого мусора. все очень понятно. itunes - ребят вы о чем? какие танцы с бубном? я никогда в глаза этой проги не видела и с эпплом не ""дружу"", но в тунце за 5 минут разобралась)) сеть держит хорошо, вибрация суперская, экран не царапается. теперь о минусах- пока их обнаружила не много, но есть. в клавиатуре нельзя поместить курсор на середину слова. блин ну как так? вроде мелочь да, но иногда нужно. во многих группах вк пишет что контент запрещён, что ни делай. может это эппл, а может и крымские санкции, так что точно не знаю, решилось сторонним приложением вк. иногда при загрузке из аппстора повисает, спасает перезагрузка. отключаешь уведомления а он все равно вылезает. цена -жа,высокая,но не только на него, посмотрите на доллар. на данный момент для меня больше минусов нет. ну и обидно, конечно, что айфон стал попсовым телефоном, признаком роскоши и статуса, алло это телефон!!",POS
"мне очень понравилась эта модель! во-первых классный дизайн, во-вторых круто снимает в помещении, за счет позволяя понизить iso, что очень сильно порадовало, во-третьих  на мой взгляд он  совершенно  не тормозит и у него очень четкая и плавная картинка, всем советую)",POS
"долгое время пользовалась iphone 5s 16gb. он меня более чем устраивал, но в какой-то момент, я осознала, что есть в нём некоторые минусы. памяти катастрофически не хватало, экран казался маленьким, читать долго текст было неудобно. и я решилась купить телефон на андроиде. вроде и телефон был хороший и всё в нём есть, экран большой, памяти можно добавить, сколько хочешь. но, видимо, я настолько привыкла к ios, да и качество камеры, которое для меня очень важно, было отвратительным, что отходила с ним максимум месяц. и вот решила приобрести iphone 6. ошибку с выбором памяти, как с предыдущим iphone, я допускать не стала и выбрала модель на 64gb. было непривычно, что кнопка блокировки находится сбоку, но это оказалось намного удобнее. телефон очень удобно лежит в руке, новый дизайн мне очень нравится, особенно в белом цвете. по функциям особого отличия от iphone 5s я не нашла, привычный и удобный touch id, камера такая же, как на 5s, снимки получаются отличного качества, как на основную, так и на фронтальную. также я заметила, что он хорошо держит батарею, даже при активном использовании. телефон меня полностью устраивает.",POS
"раньше был samsung galaxy alpha sm-g850f 32gb, купил iphone 6 16 gb, экран подходящий, но на iphone 6 мало памяти для такой цены. для комфорта лучше взять 64 gb. прилично греется в играх. понравился сенсор отпечатков. работает очень хорошо.  в совокупности характеристик и возможностей реальная цена ему 20-25 тыс. но никак не 32. в целом рекомендую к покупке, но сначала проверьте себя на apple-совместимость, взяв любой телефон от apple у друзей или знакомых.",POS
"бесит, что защитные стекла все идут не на весь экран а по краям значительное расстояние идет из-за скошенных углов;(батарею бы хотелось помощнее, увы она в шестерке тоже не фонтан. желательно чехол сразу да такой, чтоб все углы защищал, а то алюминиевый корпус царапается в два счёта и при падении и при носке в кармане с ключами;))",POS
"вот уже третий год радует телефон, а с ios10 стал еще быстрее и плавнее. на 7-ку даже как-то сложно перейти, ибо аппарат до сих пор ну очень хорошо справляется со своими обязанностями)",POS
"телефонами apple пользуюсь с выхода модели 3g и отличной эту модель уже назвать не могу. просто качественный хороший смартфон. не хуже других, что для продукции apple должно звучать оскорблением. тонкий корпус с закругленными, ставшими узкими, гранями не особо обрадовал. в руках ощущается скользким, особенно когда надо добраться до верхнего края экрана. невольно задумаешься, что рано или поздно выскользнет. проблему решил родной кожаный чехол, он реально классный, всем смело рекомендую, правда до этого я не на одной модели аксессуарами не пользовался. так что плюс это или минус решайте сами. кроме размера коренных отличий от 5s не вижу. очень удивил мелкий глюк - при выводе списка абонентов при их прокручивании вниз экрана на самый последний невозможно нажать, он сразу прячется за нижний край, не смертельно, конечно, но раньше я подобных огрехов за яблоком вообще не помню. в целом хороший, добротный телефон.",POS
"аккумулятора в стандартном режиме всегда хватает на полный день. при необходимости беру с собой внешний аккумулятор - лучше так (имхо), чем портить дизайн и увеличивать толщину устройства ради большего аккумулятора.",POS
"после 5s чувствуется разница в первую очередь в скорости работы и аккумуляторе. размер корпуса стал больше, удобнее смотреть фильмы. фото живые - отличное качество, много разных функций у камеры. отличный айфон, всем советую!",POS
"мне показалось, что телефон очень прочный, роняла его много раз, и, благо, без последствий. единственная причина по которой я бы хотела сменить телефон, это память, мне 64гб не хватает, так как уже на телефоне 10к фото, однако и эта проблема по своему решаема, можно купить айклауд память аж на 2т. 
поэтому если вы в 2018 году думаете брать или не брать 6s — берите! за его нынешнюю стоимость это прекрасный аппарат!",POS
"покупали сразу два - черный и золотой. пользуюсь айфонами с модели 3g и могу сказать что 6 - реально лучший айфон. чего нельзя было сказать, к примеру, о 5 и 5s. очень тонкий, приятный монолитный корпус со скруглёнными гранями, отлично лежит в руке. к размерам после предыдущих моделей привыкаешь за пару дней, и они уже кажутся очень мелкими. такой размер экрана - идеальный, и не слишком большой, и не слишком маленький, как на айфоне 4. реально айфон 4 после этого - как спичечный коробок. очень хороший громкий звук, отлично ловит сет, выдает прекрасную производительность, можно спокойно рубиться в wot без каких либо лагов. за несколько месяцев - ни одной царапины и потёртости несмотря на использование без чехла. не гнётся. проверено на собственных джинсах.))в общем, лучший смартфон на рынке, каждый раз берешь его в руки и чувствуешь настоящую качествнную вещь.",POS
"в целом аппарат кайфовый, но цена нынешняя пугает все в том числе и меня)) купил за 56490руб. даже друзья боятся его брать в руки)). я долго выбирал этот аппарат много вариантов разных перебрал но самым удобным в эксплуатации оказался именно этот. если финансы позволяют то советую лучше и удобнее пока ничего не предумали.",POS
"проблемы чисто софтверные, и выражаются в явном неуважении компании к своим клиентам.",NEG
"полный офис яблочников с многолетним стажем. за день общения, консультаций, личного участия музыку с пк через itunes так и не залили. в виде винегрета-это без проблем, а строго по исполнителям, альбомам, годам - фиг вам. в исходниках музыки все ок, но ""яблоку"" виднее и переименовывает по своему разумению, как правило в неизвестных солдат. самому ручками 15гиг музыки переименовывать после тюнса как-то в облом. телефонная книга с gmail.com тоже не сразу правильно встала.ос телефона и софт заточены под выполнение строгих правил apple. это вам не вольное общение с андроид. смирно и в ногу. на кой ляд купил - жалею. жил с моторолой без проблем...",NEG
"приятный телефон в использовании, камера на 5, цвета на экране отлично отображаются. быстро садится батарея, впрочем, по-моему, это беда всех смартфонов при активном пользовании",POS
"я не знаю, попался ли мне брак, или администрация салона была настолько безответственная! просто обидно, когда телефон за 50 т.р выпадает с такими характеристиками. аккумулятор работал нормально, но через месяц после того, как мы поменяли на новый, он стал менее автономным. я не стал объяснять в недостатках, как я исправлял все эти , ибо просто позорно, что компания не может обеспечить пользователю плавную работу смартфона, да ещё и за такие бешеные бабки.",NEG
"всем заядлым ""яблочникам"" хочу сказать,что чувства смешанные. вроде и одна из последних моделей (на время покупки) и на селфи перед зеркалом очень симпатичная модель телефона, но:любителям селфи - фронтальная камера не оч. и 16 гб маловато для хранения всех фоток и видео.лично я использую различные облачные ресурсы, таким образом решила проблему с нехваткой памяти и денег на модель с объемом памяти побольше :)недостатки по корпусу - уж очень он нежный,особенно при смене чехлов. в задний карман джинс ложила,садилась - не согнулся.сильная сторона телефона - дисплей. крутое изображение, в общем в стиле apple, добавить нечего. звук в наушниках хороший, как,собственно и без них. в целом, если как я с 4sки-переходить стоит, с 5s-смысла вроде нет, только если не хотите экран побольше. но определенно жду 7ку.",POS
"не являюсь особым приверженцом эппл или андроид, вполне понимаю, что за эти деньги можно было взять к примеру самсунг галакси s7. и писать кипятком. но писать не очень хотелось, а больше хотелось беспроблемной миграции, перехода, наличие зарядок и шнуров от прошлого айфона, да и в целом прошлая безпроблемная эксплуатация айфонов оставила только приятные впечатления.",POS
"я часто меняю телефоны, люблю экспериментировать с разными форм-факторами, операционными системами - и за долгий путь от ericsson t10s до этого айфона всего несколько телефонов, что называется, ""легли на душу"". это nokia n95 и iphone 4. много раз, после продажи четвертого айфона, я пытался достичь того же ""телефонного комфорта"" - но не получалось. в погоне за разрешением, количеством ядер и мегапикселями камеры не получилось вернуть ту простую радость от использования ios. оговорюсь - я глубоко субъективен в этом вопросе.система выросла с тех пор, появилось куча новых возможностей, новый дизайн (господи, как же он мне не нравился поначалу...) - но само удовольствие от процесса взаимодействия с устройством остается. недавно я брал флагман от xiaomi - отличная, в общем-то, вещь, и miui 6 очень похожа на ios - только вот мелочи портят все! колоссальный расход батареи даже в простое; зависло там, подлагнуло здесь - это всё сильно бросается в глаза. это сложно объяснить, наверно это надо испытать самому. даже тот приятный момент, что мой новый айфон 6 живет уже второй день без подзарядки и тратит в простое несколько процентов за ночь (около 5%). и вот, в итоге, айфон 6 радует меня почти так же, как в свое время радовал айфон 4. нет, конечно же, прежнего ""вау-эффекта"" - но это добротный девайс для постоянного использования; для любителей фотографировать, слушать музыку и не особо заморачиваться с настройками. в паре с айпадом (у меня air 1) - вызывает совсем детский восторг :3  как итог:качество изготовления отличное. не люфтит, кнопка home не болтается как на 5s, краска не облезает - внешне похож на обычный современный флагман от самсунг, только из матового алюминия и с яблоком :)адекватность цены - хм, цена завышена. это факт, и дело не в жадности.удобство - сниму балл за itunes, хотя лично я привык.итог: 8,8 из 10в целом рекомендую к покупке, но сначала проверьте себя на apple-совместимость, взяв любой девайс от apple у друзей или знакомых.",POS
"покупал 6-ку в интернет магазине, перед этими посмотрел в интернете возможные брак. мне предложили 6-ку для азиатского рынка (цена 41 с копейками), вот все браки, которые возможно они там присутствуют.  потом принесли 6-ку для европейского рынка (цена 44 ровно), просто супер, ни каких люфтов, сползаний камер и прочего. вывод: стоит чуть доплатить и взять хороший, качественный iphone )))",POS
"я для себя понял, что не стоит брать продукцию apple. купил эту ошибку природы за 54990 рублей, лучше бы купил yota phone.",NEG
"пользовался около месяца. с точки зрения эргономики - очень не плохо, тонкий, легких, прочный. с точки зрения использования, дно. не лагает, но бывает что греется при самых простых задачах - типа проверить почту. привычка кидать трубку на док безпроводной зарядки прошла, удобства это не добавило.
автономка реальная, около 2 часов экрана, или 10-12 часов умеренного использования. при небольшом желании (лте + почта + игрушка) сажается за час с небольшим (аппарат рст с официального сайта эйпл).
в итоге, воспринимается как простая звонилка т.к. расход аккума запредельный, на встречу только с повербанком. 
фотки хорошие, из мобильных камер думаю в топ 10. новый датчик гораздо быстрее чем на 5s.
сравнивая с 5s могу сказать что на лицо ""поле искаженной реальности"", аппарат вроде лучше, но хуже.  
хотя, к макбуку и айпаду никаких претензий. один из главных плюсов - слил его на ваторичке за 1 день и по весьма вкусной цене.",NEG
"спустя 1.5 года с sgs5 я снова вернулся в сторону apple, хотя зарекался. но внезапная кончина экрана (без падений и прочего) внесла свои коррективы. долго присматривался к 7ке, но особых преимуществ, кроме сенсорной кнопки home не увидел в повседневной эксплуатации. все таки очень нравится мне отношение к мелочам и исправление своих же косяков (чего самсунгу со времён сгс4 не хватает). touchid второго поколения чуть быстрее, батарея чуть лучше, камера чуть быстрее. а forcetouch и taptic engine нового поколения вносят свою лепту к комфорту, за который можно просить и закрытость операционной, сложности с синхронизацией (допустим историю переписки с того же whatsapp он с гугловской учетки тянуть не хочет, когда ведроид спокойно вытаскивал. короче я доволен, на следующие 1.5-2 года можно не особо париться с заменой аппарата.",POS
"довольно долго сопротивлялся смартфонам. да и сейчас основной звонилкой остается nokia 8800. но необходимость оставаться мобильным и развитие сетей 4g определили выбор. по началу таскал с собой ipad, но потом перешел на валявшийся без дела iphone4. удобно черт возьми, но стала утомлять его неторопливость. iphone6 по части быстродействия на голову выше. а джейл дает достаточную свободу действий при работе с файлами и архивами (по старой памяти люблю поковыряться в консоли).многие могут возразить - вот мол андроид. но как то исторически не заладилось еще с версии 2.1. да и хорошая тушка с андроидом немногим дешевле стоит.",POS
"меняю айфоны через один.4s, 5s, 6s.настроил достаточно быстро.надо было подумать, как включить исчезнувший режим модема, но в целом все ок.это качественный продукт, который стоит своих денег. я пользуюсь им ежедневно на все 100% - почта, инет, приложения и доволен.",POS
"купил жене, в замен iphone 6. отличий 6 от 6s для пользователя реально нет! ни во внешнем виде (даже не понтанешься=)), ни в функциях (опять же кроме тач 3д). короче вообще нет смысла покупать его, если есть iphone 6. тем не менее телефон отличный",POS
"никаких положительных эмоций этот аппарат у меня не вызывает. вызывает чувство обиды, потому что реально не стоит это устройство 66т.р. если бы мой htc не умер, ходил бы с ним дальше и радовался жизни.",NEG
купила дочки ей очень понравилось,POS
"для меня - лучший телефон. почему конкретно? все уже по сто раз написано другими людьми. безупречный дизайн, мощная начинка, крутейшая оптимизация софта и железа, удобнейшая ios 9, очень быстрый датчик отпечатка пальцев. перечислять можно очень долго. да, дорого. но оно того стоит. понимаешь это буквально за пару часов. всем рекомендую :)",POS
"если вы сомневаетесь нужен ли вам iphone, если вы хотите его купить только ради понтов, а все что вам требуется - это звонить, писать смс и делать селфи, не покупайте iphone! если чтобы купить его, вам нужно копить деньги несколько месяцев, не покупайте iphone!основное преимущество айфона - это огромный выбор приложений, это мультимедийное устройство для работы и жизни. а дешевые понты айфоном в метро при том, что видно что все что на вас одето стоит дешево, выглядит более чем глупо и неуместно. особенно жаль тех девочек, которые долго копили или выпрашивали данный кирпич, а потом случайно уронили и разбили стекло, и так и ходят с разбитым, ведь денег на замену стекла уже нет совсем или их настолько жалко.очень долго пользовался iphone 3gs, пока не выронил его в такси. позже по геолокации телефон определил свое месторасположение в узбекистане :)позже пытался пользоваться другими телефонами, но без привычного набора программ прямо как без рук. в итоге приобрел данный девайс, моментально подгрузился весь список контактов и пр. из облака с моего старого айфона.очень радует, что исчезла необходимость синхронизации с itunes и устройство спокойно может существовать и обновляться фактически без непосредственного взаимодействия с компьютером.насчет батарейки, то это не телефон быстро ее разряжает, а использование 3g и lte. отключайте сотовые данные и будет вам счастье в виде долгой работы батареи. андроид-телефоны съедают заряд еще быстрее.",POS
